Symbol,Security,Sector,Sub-Industry,Date first added
UNFI,UNFIUSDT,Cryptocurrency,Digital Asset,2024-09-01
ROSE,ROSEUSDT,Cryptocurrency,Digital Asset,2024-09-01
AVA,AVAUSDT,Cryptocurrency,Digital Asset,2024-09-01
XEM,XEMUSDT,Cryptocurrency,Digital Asset,2024-06-01
AAVEUP,AAVEUPUSDT,Cryptocurrency,Digital Asset,2021-11-01
AAVEDOWN,AAVEDOWNUSDT,Cryptocurrency,Digital Asset,2021-11-01
SKL,SKLUSDT,Cryptocurrency,Digital Asset,2024-09-01
SUSD,SUSDUSDT,Cryptocurrency,Digital Asset,2022-04-01
SUSHIUP,SUSHIUPUSDT,Cryptocurrency,Digital Asset,2021-12-01
SUSHIDOWN,SUSHIDOWNUSDT,Cryptocurrency,Digital Asset,2021-12-01
XLMUP,XLMUPUSDT,Cryptocurrency,Digital Asset,2021-12-01
XLMDOWN,XLMDOWNUSDT,Cryptocurrency,Digital Asset,2021-12-01
GRT,GRTUSDT,Cryptocurrency,Digital Asset,2024-09-01
JUV,JUVUSDT,Cryptocurrency,Digital Asset,2024-09-01
PSG,PSGUSDT,Cryptocurrency,Digital Asset,2024-09-01
1INCH,1INCHUSDT,Cryptocurrency,Digital Asset,2024-09-01
REEF,REEFUSDT,Cryptocurrency,Digital Asset,2024-08-01
OG,OGUSDT,Cryptocurrency,Digital Asset,2024-09-01
ATM,ATMUSDT,Cryptocurrency,Digital Asset,2024-09-01
ASR,ASRUSDT,Cryptocurrency,Digital Asset,2024-09-01
CELO,CELOUSDT,Cryptocurrency,Digital Asset,2024-09-01
RIF,RIFUSDT,Cryptocurrency,Digital Asset,2024-09-01
BTCST,BTCSTUSDT,Cryptocurrency,Digital Asset,2022-11-01
TRU,TRUUSDT,Cryptocurrency,Digital Asset,2024-09-01
CKB,CKBUSDT,Cryptocurrency,Digital Asset,2024-09-01
TWT,TWTUSDT,Cryptocurrency,Digital Asset,2024-09-01
FIRO,FIROUSDT,Cryptocurrency,Digital Asset,2024-09-01
LIT,LITUSDT,Cryptocurrency,Digital Asset,2024-09-01
SFP,SFPUSDT,Cryptocurrency,Digital Asset,2024-09-01
DODO,DODOUSDT,Cryptocurrency,Digital Asset,2024-09-01
CAKE,CAKEUSDT,Cryptocurrency,Digital Asset,2024-09-01
ACM,ACMUSDT,Cryptocurrency,Digital Asset,2024-09-01
BADGER,BADGERUSDT,Cryptocurrency,Digital Asset,2024-09-01
FIS,FISUSDT,Cryptocurrency,Digital Asset,2024-09-01
OM,OMUSDT,Cryptocurrency,Digital Asset,2024-09-01
POND,PONDUSDT,Cryptocurrency,Digital Asset,2024-09-01
DEGO,DEGOUSDT,Cryptocurrency,Digital Asset,2024-09-01
ALICE,ALICEUSDT,Cryptocurrency,Digital Asset,2024-09-01
LINA,LINAUSDT,Cryptocurrency,Digital Asset,2024-09-01
PERP,PERPUSDT,Cryptocurrency,Digital Asset,2024-09-01
RAMP,RAMPUSDT,Cryptocurrency,Digital Asset,2022-07-01
SUPER,SUPERUSDT,Cryptocurrency,Digital Asset,2024-09-01
CFX,CFXUSDT,Cryptocurrency,Digital Asset,2024-09-01
EPS,EPSUSDT,Cryptocurrency,Digital Asset,2022-05-01
AUTO,AUTOUSDT,Cryptocurrency,Digital Asset,2023-04-01
TKO,TKOUSDT,Cryptocurrency,Digital Asset,2024-09-01
PUNDIX,PUNDIXUSDT,Cryptocurrency,Digital Asset,2024-09-01
TLM,TLMUSDT,Cryptocurrency,Digital Asset,2024-09-01
1INCHUP,1INCHUPUSDT,Cryptocurrency,Digital Asset,2021-12-01
1INCHDOWN,1INCHDOWNUSDT,Cryptocurrency,Digital Asset,2021-12-01
BTG,BTGUSDT,Cryptocurrency,Digital Asset,2022-10-01
MIR,MIRUSDT,Cryptocurrency,Digital Asset,2022-12-01
BAR,BARUSDT,Cryptocurrency,Digital Asset,2024-09-01
FORTH,FORTHUSDT,Cryptocurrency,Digital Asset,2024-09-01
BAKE,BAKEUSDT,Cryptocurrency,Digital Asset,2024-09-01
BURGER,BURGERUSDT,Cryptocurrency,Digital Asset,2024-09-01
SLP,SLPUSDT,Cryptocurrency,Digital Asset,2024-09-01
