Symbol,Security,Sector,Sub-Industry,Date first added
FMB,FMBUSDT,Cryptocurrency,Digital Asset,2024-09-01
TENET,TENETUSDT,Cryptocurrency,Digital Asset,2024-09-01
VELO,VELOUSDT,Cryptocurrency,Digital Asset,2024-09-01
ELDA,ELDAUSDT,Cryptocurrency,Digital Asset,2024-09-01
CANDY,CANDYUSDT,Cryptocurrency,Digital Asset,2024-09-01
FON,FONUSDT,Cryptocurrency,Digital Asset,2024-09-01
VELA,VELAUSDT,Cryptocurrency,Digital Asset,2024-09-01
PENDLE,PENDLEUSDT,Cryptocurrency,Digital Asset,2024-09-01
EGO,EGOUSDT,Cryptocurrency,Digital Asset,2024-09-01
NYM,NYMUSDT,Cryptocurrency,Digital Asset,2024-09-01
MNT,MNTUSDT,Cryptocurrency,Digital Asset,2024-09-01
GSWIFT,GSWIFTUSDT,Cryptocurrency,Digital Asset,2024-09-01
SALD,SALDUSDT,Cryptocurrency,Digital Asset,2024-09-01
ARKM,ARKMUSDT,Cryptocurrency,Digital Asset,2024-09-01
NEON,NEONUSDT,Cryptocurrency,Digital Asset,2024-09-01
WLD,WLDUSDT,Cryptocurrency,Digital Asset,2024-09-01
PLANET,PLANETUSDT,Cryptocurrency,Digital Asset,2024-09-01
DSRUN,DSRUNUSDT,Cryptocurrency,Digital Asset,2024-09-01
SPARTA,SPARTAUSDT,Cryptocurrency,Digital Asset,2024-09-01
TAVA,TAVAUSDT,Cryptocurrency,Digital Asset,2024-09-01
SEILOR,SEILORUSDT,Cryptocurrency,Digital Asset,2024-09-01
SEI,SEIUSDT,Cryptocurrency,Digital Asset,2024-09-01
CYBER,CYBERUSDT,Cryptocurrency,Digital Asset,2024-09-01
ORDI,ORDIUSDT,Cryptocurrency,Digital Asset,2024-09-01
KAVA,KAVAUSDT,Cryptocurrency,Digital Asset,2024-09-01
VV,VVUSDT,Cryptocurrency,Digital Asset,2024-09-01
SAIL,SAILUSDT,Cryptocurrency,Digital Asset,2024-09-01
PYUSD,PYUSDUSDT,Cryptocurrency,Digital Asset,2024-09-01
VEXT,VEXTUSDT,Cryptocurrency,Digital Asset,2024-09-01
CTT,CTTUSDT,Cryptocurrency,Digital Asset,2024-09-01
NEXT,NEXTUSDT,Cryptocurrency,Digital Asset,2024-09-01
KAS,KASUSDT,Cryptocurrency,Digital Asset,2024-09-01
NESS,NESSUSDT,Cryptocurrency,Digital Asset,2024-09-01
CAT,CATUSDT,Cryptocurrency,Digital Asset,2024-09-01
FET,FETUSDT,Cryptocurrency,Digital Asset,2024-09-01
